PO_ID,PO_Date,Product_ID,Supplier_ID,Quantity,Unit_Cost_GBP,PO_Value_GBP,Received_Date,Status
PO00063,2026-03-01 00:00:00,P004,S05,183,22,4026,2026-03-13 00:00:00,Delayed
PO00064,2026-01-10 00:00:00,P002,S03,175,18,3150,2026-01-27 00:00:00,Delayed
PO00065,2025-02-10 00:00:00,P004,S01,97,22,2134,2025-02-22 00:00:00,Received
PO00066,2026-04-29 00:00:00,P008,S08,183,185,33855,2026-05-18 00:00:00,Open
PO00067,2025-09-17 00:00:00,P013,S02,89,8,712,2025-10-08 00:00:00,Received
PO00068,2026-03-17 00:00:00,P010,S01,156,105,16380,2026-03-26 00:00:00,Received
PO00069,2025-03-25 00:00:00,P018,S02,40,62,2480,2025-04-18 00:00:00,Received
PO00070,2025-02-15 00:00:00,P009,S07,83,58,4814,2025-02-23 00:00:00,Received
PO00071,2026-03-16 00:00:00,P001,S05,95,12,1140,2026-03-31 00:00:00,Received
PO00072,2026-06-03 00:00:00,P013,S08,80,8,640,2026-06-25 00:00:00,Received
PO00073,2026-03-14 00:00:00,P018,S05,114,62,7068,2026-03-28 00:00:00,Received
PO00074,2025-05-16 00:00:00,P015,S01,59,25,1475,2025-06-06 00:00:00,Delayed
PO00075,2025-07-02 00:00:00,P002,S01,23,18,414,2025-07-21 00:00:00,Open
PO00076,2025-06-21 00:00:00,P011,S02,50,42,2100,2025-07-01 00:00:00,Received
PO00077,2026-06-23 00:00:00,P014,S02,174,10,1740,2026-07-13 00:00:00,Open
PO00078,2025-04-30 00:00:00,P015,S03,172,25,4300,2025-05-19 00:00:00,Received
PO00079,2025-10-08 00:00:00,P014,S07,88,10,880,2025-10-20 00:00:00,Received
PO00080,2025-11-04 00:00:00,P016,S03,89,48,4272,2025-11-17 00:00:00,Received
PO00081,2025-10-04 00:00:00,P015,S03,24,25,600,2025-10-19 00:00:00,Received
PO00082,2026-06-14 00:00:00,P019,S01,134,125,16750,2026-06-20 00:00:00,Received
PO00083,2025-10-22 00:00:00,P009,S06,110,58,6380,2025-11-08 00:00:00,Received
PO00084,2025-02-22 00:00:00,P005,S06,27,35,945,2025-03-02 00:00:00,Received
PO00085,2026-03-08 00:00:00,P005,S06,28,35,980,2026-03-21 00:00:00,Received
PO00086,2025-02-21 00:00:00,P011,S06,34,42,1428,2025-03-02 00:00:00,Received
PO00087,2025-03-13 00:00:00,P020,S03,124,38,4712,2025-04-05 00:00:00,Open
PO00088,2025-01-28 00:00:00,P004,S01,26,22,572,2025-02-04 00:00:00,Received
PO00089,2026-04-14 00:00:00,P020,S06,91,38,3458,2026-04-21 00:00:00,Received
PO00090,2026-02-05 00:00:00,P018,S08,134,62,8308,2026-02-15 00:00:00,Received
PO00091,2025-07-20 00:00:00,P003,S05,34,28,952,2025-08-03 00:00:00,Open
PO00092,2026-04-11 00:00:00,P004,S04,184,22,4048,2026-04-20 00:00:00,Open
PO00093,2026-01-14 00:00:00,P014,S05,102,10,1020,2026-01-21 00:00:00,Delayed
PO00094,2025-06-26 00:00:00,P007,S01,58,115,6670,2025-07-07 00:00:00,Received
PO00095,2025-02-21 00:00:00,P008,S01,153,185,28305,2025-03-15 00:00:00,Received
PO00096,2025-03-20 00:00:00,P016,S04,76,48,3648,2025-04-01 00:00:00,Delayed
PO00097,2026-01-20 00:00:00,P020,S02,111,38,4218,2026-01-25 00:00:00,Received
PO00098,2025-01-08 00:00:00,P015,S02,100,25,2500,2025-01-16 00:00:00,Received
PO00099,2025-08-02 00:00:00,P007,S08,166,115,19090,2025-08-13 00:00:00,Received
PO00100,2025-01-25 00:00:00,P017,S02,146,95,13870,2025-02-12 00:00:00,Received
PO00101,2026-03-26 00:00:00,P012,S03,178,78,13884,2026-04-12 00:00:00,Received
PO00102,2026-04-02 00:00:00,P018,S02,94,62,5828,2026-04-16 00:00:00,Received
PO00103,2026-04-06 00:00:00,P014,S07,98,10,980,2026-04-28 00:00:00,Delayed
PO00104,2025-07-17 00:00:00,P015,S03,29,25,725,2025-07-22 00:00:00,Open
PO00105,2025-04-04 00:00:00,P015,S03,126,25,3150,2025-04-12 00:00:00,Received
PO00106,2026-03-13 00:00:00,P005,S08,106,35,3710,2026-04-02 00:00:00,Received
PO00107,2026-06-11 00:00:00,P016,S02,86,48,4128,2026-07-01 00:00:00,Delayed
PO00108,2026-01-13 00:00:00,P005,S02,81,35,2835,2026-02-04 00:00:00,Delayed
PO00109,2025-04-14 00:00:00,P002,S08,150,18,2700,2025-04-26 00:00:00,Received
PO00110,2025-02-08 00:00:00,P020,S04,165,38,6270,2025-02-22 00:00:00,Received
PO00111,2026-04-03 00:00:00,P009,S06,172,58,9976,2026-04-23 00:00:00,Received
PO00112,2025-12-30 00:00:00,P009,S08,126,58,7308,2026-01-14 00:00:00,Open
PO00113,2025-05-15 00:00:00,P004,S04,167,22,3674,2025-05-25 00:00:00,Received
PO00114,2026-01-09 00:00:00,P015,S03,112,25,2800,2026-01-14 00:00:00,Received
PO00115,2025-08-20 00:00:00,P011,S04,105,42,4410,2025-09-05 00:00:00,Received
PO00116,2025-02-08 00:00:00,P001,S03,197,12,2364,2025-02-18 00:00:00,Received
PO00117,2025-02-16 00:00:00,P018,S01,140,62,8680,2025-03-05 00:00:00,Delayed
PO00118,2025-02-05 00:00:00,P001,S03,98,12,1176,2025-02-26 00:00:00,Received
PO00119,2025-04-05 00:00:00,P008,S03,29,185,5365,2025-04-10 00:00:00,Received
PO00120,2025-12-27 00:00:00,P016,S04,168,48,8064,2026-01-08 00:00:00,Received
PO00121,2026-06-09 00:00:00,P018,S06,48,62,2976,2026-06-21 00:00:00,Received
PO00122,2025-05-26 00:00:00,P009,S01,115,58,6670,2025-06-10 00:00:00,Open
PO00123,2026-01-03 00:00:00,P012,S05,29,78,2262,2026-01-21 00:00:00,Received
PO00124,2025-03-06 00:00:00,P019,S05,32,125,4000,2025-03-20 00:00:00,Received
PO00125,2025-08-16 00:00:00,P018,S06,66,62,4092,2025-09-04 00:00:00,Received
PO00126,2026-06-04 00:00:00,P005,S05,170,35,5950,2026-06-15 00:00:00,Delayed
PO00127,2025-06-30 00:00:00,P002,S01,69,18,1242,2025-07-11 00:00:00,Received
PO00128,2026-05-16 00:00:00,P007,S02,151,115,17365,2026-05-30 00:00:00,Received
PO00129,2025-06-04 00:00:00,P010,S01,135,105,14175,2025-06-12 00:00:00,Delayed
PO00130,2026-06-19 00:00:00,P015,S04,132,25,3300,2026-07-11 00:00:00,Received
PO00131,2026-03-11 00:00:00,P007,S08,104,115,11960,2026-03-25 00:00:00,Delayed
PO00132,2025-04-09 00:00:00,P005,S07,72,35,2520,2025-05-02 00:00:00,Received
PO00133,2026-01-07 00:00:00,P015,S03,149,25,3725,2026-01-25 00:00:00,Received
PO00134,2025-12-28 00:00:00,P020,S03,87,38,3306,2026-01-14 00:00:00,Received
PO00135,2025-04-22 00:00:00,P020,S08,98,38,3724,2025-05-11 00:00:00,Open
PO00136,2026-03-29 00:00:00,P015,S04,76,25,1900,2026-04-18 00:00:00,Received
PO00137,2025-06-18 00:00:00,P010,S04,116,105,12180,2025-06-24 00:00:00,Received
PO00138,2025-05-19 00:00:00,P014,S07,154,10,1540,2025-05-27 00:00:00,Received
PO00139,2025-08-19 00:00:00,P010,S07,166,105,17430,2025-09-10 00:00:00,Received
PO00140,2025-08-27 00:00:00,P017,S03,191,95,18145,2025-09-17 00:00:00,Received
PO00141,2025-09-10 00:00:00,P014,S07,82,10,820,2025-09-24 00:00:00,Received
PO00142,2026-03-12 00:00:00,P002,S07,84,18,1512,2026-03-25 00:00:00,Received
PO00143,2026-02-26 00:00:00,P016,S07,58,48,2784,2026-03-17 00:00:00,Received
PO00144,2025-10-30 00:00:00,P013,S08,128,8,1024,2025-11-15 00:00:00,Received
PO00145,2025-03-13 00:00:00,P009,S06,45,58,2610,2025-03-26 00:00:00,Delayed
PO00146,2025-09-20 00:00:00,P007,S02,191,115,21965,2025-10-08 00:00:00,Received
PO00147,2025-08-10 00:00:00,P016,S07,31,48,1488,2025-08-27 00:00:00,Received
PO00148,2025-03-18 00:00:00,P010,S02,169,105,17745,2025-03-28 00:00:00,Received
PO00149,2025-03-03 00:00:00,P009,S02,96,58,5568,2025-03-26 00:00:00,Received
PO00150,2026-04-16 00:00:00,P007,S04,161,115,18515,2026-04-24 00:00:00,Open
PO00151,2025-06-06 00:00:00,P016,S07,105,48,5040,2025-06-30 00:00:00,Received
PO00152,2025-05-05 00:00:00,P009,S03,49,58,2842,2025-05-26 00:00:00,Received
PO00153,2025-06-10 00:00:00,P017,S06,191,95,18145,2025-07-03 00:00:00,Received
PO00154,2026-06-25 00:00:00,P020,S03,185,38,7030,2026-07-02 00:00:00,Received
PO00155,2026-06-19 00:00:00,P007,S07,189,115,21735,2026-07-07 00:00:00,Delayed
PO00156,2025-04-16 00:00:00,P011,S03,71,42,2982,2025-05-07 00:00:00,Delayed
PO00157,2025-05-11 00:00:00,P008,S07,82,185,15170,2025-05-28 00:00:00,Received
PO00158,2025-12-23 00:00:00,P007,S06,139,115,15985,2026-01-05 00:00:00,Received
PO00159,2025-01-02 00:00:00,P019,S01,124,125,15500,2025-01-07 00:00:00,Open
PO00160,2025-08-21 00:00:00,P020,S06,181,38,6878,2025-09-11 00:00:00,Received
PO00161,2026-01-04 00:00:00,P012,S08,58,78,4524,2026-01-24 00:00:00,Received
PO00162,2025-09-08 00:00:00,P007,S01,60,115,6900,2025-09-30 00:00:00,Received
PO00163,2025-04-18 00:00:00,P008,S05,140,185,25900,2025-04-24 00:00:00,Received
PO00164,2025-10-03 00:00:00,P007,S01,127,115,14605,2025-10-21 00:00:00,Received
PO00165,2025-06-29 00:00:00,P006,S02,184,32,5888,2025-07-20 00:00:00,Received
PO00166,2025-10-20 00:00:00,P009,S08,84,58,4872,2025-10-27 00:00:00,Open
PO00167,2025-06-24 00:00:00,P013,S02,137,8,1096,2025-06-30 00:00:00,Delayed
PO00168,2025-05-03 00:00:00,P007,S08,98,115,11270,2025-05-15 00:00:00,Received
PO00169,2025-08-15 00:00:00,P008,S06,179,185,33115,2025-08-21 00:00:00,Received
PO00170,2026-03-20 00:00:00,P017,S02,27,95,2565,2026-03-26 00:00:00,Open
PO00171,2026-03-04 00:00:00,P017,S02,116,95,11020,2026-03-17 00:00:00,Open
PO00172,2025-03-24 00:00:00,P016,S05,37,48,1776,2025-04-17 00:00:00,Received
PO00173,2025-03-06 00:00:00,P002,S02,192,18,3456,2025-03-16 00:00:00,Open
PO00174,2025-10-08 00:00:00,P008,S04,115,185,21275,2025-10-24 00:00:00,Open
PO00175,2026-01-26 00:00:00,P017,S04,52,95,4940,2026-02-08 00:00:00,Received
PO00176,2026-03-04 00:00:00,P013,S04,24,8,192,2026-03-15 00:00:00,Received
PO00177,2025-04-17 00:00:00,P018,S01,146,62,9052,2025-05-03 00:00:00,Open
PO00178,2025-09-19 00:00:00,P010,S06,93,105,9765,2025-09-28 00:00:00,Received
PO00179,2025-06-08 00:00:00,P002,S06,145,18,2610,2025-06-28 00:00:00,Received
PO00180,2025-09-22 00:00:00,P002,S03,183,18,3294,2025-10-01 00:00:00,Received
PO00181,2026-04-13 00:00:00,P014,S05,170,10,1700,2026-04-29 00:00:00,Open
PO00182,2025-07-21 00:00:00,P016,S04,187,48,8976,2025-08-14 00:00:00,Received
PO00183,2025-06-04 00:00:00,P007,S04,24,115,2760,2025-06-17 00:00:00,Open
PO00184,2025-01-13 00:00:00,P012,S02,53,78,4134,2025-01-24 00:00:00,Received
PO00185,2025-10-24 00:00:00,P014,S04,43,10,430,2025-11-16 00:00:00,Received
PO00186,2026-05-13 00:00:00,P004,S02,164,22,3608,2026-06-06 00:00:00,Received
PO00187,2025-09-02 00:00:00,P004,S02,114,22,2508,2025-09-17 00:00:00,Received
PO00188,2025-10-27 00:00:00,P018,S03,90,62,5580,2025-11-12 00:00:00,Delayed
PO00189,2025-12-28 00:00:00,P003,S01,111,28,3108,2026-01-04 00:00:00,Received
PO00190,2025-12-20 00:00:00,P001,S02,144,12,1728,2026-01-10 00:00:00,Open
PO00191,2026-06-05 00:00:00,P017,S02,41,95,3895,2026-06-16 00:00:00,Received
PO00192,2026-01-21 00:00:00,P007,S06,34,115,3910,2026-02-04 00:00:00,Delayed
PO00193,2025-11-08 00:00:00,P016,S03,120,48,5760,2025-11-27 00:00:00,Received
PO00194,2026-02-18 00:00:00,P005,S02,34,35,1190,2026-02-24 00:00:00,Received
PO00195,2025-10-05 00:00:00,P019,S05,172,125,21500,2025-10-22 00:00:00,Received
PO00196,2025-12-22 00:00:00,P007,S01,72,115,8280,2025-12-30 00:00:00,Received
PO00197,2026-06-09 00:00:00,P014,S08,168,10,1680,2026-07-01 00:00:00,Delayed
PO00198,2025-01-16 00:00:00,P002,S05,121,18,2178,2025-01-21 00:00:00,Received
PO00199,2025-02-14 00:00:00,P003,S04,132,28,3696,2025-02-20 00:00:00,Delayed
PO00200,2025-11-17 00:00:00,P017,S01,51,95,4845,2025-11-23 00:00:00,Received
PO00201,2025-11-22 00:00:00,P016,S04,40,48,1920,2025-11-30 00:00:00,Received
PO00202,2025-05-28 00:00:00,P008,S06,191,185,35335,2025-06-04 00:00:00,Open
PO00203,2025-12-21 00:00:00,P018,S07,102,62,6324,2026-01-11 00:00:00,Received
PO00204,2025-08-24 00:00:00,P015,S07,33,25,825,2025-09-11 00:00:00,Received
PO00205,2025-04-15 00:00:00,P007,S07,34,115,3910,2025-04-21 00:00:00,Delayed
PO00206,2026-04-19 00:00:00,P009,S02,167,58,9686,2026-05-09 00:00:00,Delayed
PO00207,2026-01-31 00:00:00,P006,S03,53,32,1696,2026-02-15 00:00:00,Received
PO00208,2026-03-22 00:00:00,P018,S05,183,62,11346,2026-04-08 00:00:00,Received
PO00209,2025-08-08 00:00:00,P018,S04,102,62,6324,2025-08-13 00:00:00,Open
PO00210,2026-03-18 00:00:00,P014,S02,28,10,280,2026-03-24 00:00:00,Received
PO00211,2025-01-28 00:00:00,P014,S07,177,10,1770,2025-02-03 00:00:00,Received
PO00212,2026-04-20 00:00:00,P014,S05,96,10,960,2026-04-29 00:00:00,Received
PO00213,2025-11-01 00:00:00,P004,S05,182,22,4004,2025-11-09 00:00:00,Received
PO00214,2026-02-09 00:00:00,P004,S06,160,22,3520,2026-02-25 00:00:00,Delayed
PO00215,2026-05-28 00:00:00,P015,S06,193,25,4825,2026-06-04 00:00:00,Received
PO00216,2026-05-17 00:00:00,P015,S07,28,25,700,2026-06-10 00:00:00,Open
PO00217,2025-12-14 00:00:00,P018,S04,55,62,3410,2025-12-28 00:00:00,Received
PO00218,2025-08-28 00:00:00,P014,S07,136,10,1360,2025-09-21 00:00:00,Received
PO00219,2025-12-03 00:00:00,P001,S07,22,12,264,2025-12-25 00:00:00,Received
PO00220,2025-01-26 00:00:00,P010,S02,38,105,3990,2025-02-09 00:00:00,Received
PO00221,2026-02-13 00:00:00,P020,S03,175,38,6650,2026-02-18 00:00:00,Delayed
PO00222,2025-03-18 00:00:00,P010,S07,42,105,4410,2025-03-28 00:00:00,Received
PO00223,2025-08-05 00:00:00,P010,S04,123,105,12915,2025-08-20 00:00:00,Open
PO00224,2025-11-24 00:00:00,P002,S05,154,18,2772,2025-11-30 00:00:00,Received
PO00225,2025-01-23 00:00:00,P008,S05,124,185,22940,2025-02-03 00:00:00,Open
PO00226,2025-11-06 00:00:00,P001,S08,161,12,1932,2025-11-30 00:00:00,Received
PO00227,2025-09-24 00:00:00,P001,S01,65,12,780,2025-10-16 00:00:00,Delayed
PO00228,2026-02-19 00:00:00,P004,S07,162,22,3564,2026-03-14 00:00:00,Received
PO00229,2025-09-24 00:00:00,P007,S08,34,115,3910,2025-10-02 00:00:00,Received
PO00230,2025-11-29 00:00:00,P009,S08,70,58,4060,2025-12-16 00:00:00,Received
PO00231,2026-03-26 00:00:00,P016,S02,129,48,6192,2026-04-17 00:00:00,Received
PO00232,2025-09-04 00:00:00,P005,S01,27,35,945,2025-09-28 00:00:00,Received
PO00233,2025-02-05 00:00:00,P002,S06,88,18,1584,2025-02-22 00:00:00,Received
PO00234,2026-02-05 00:00:00,P011,S03,198,42,8316,2026-02-28 00:00:00,Received
PO00235,2025-01-28 00:00:00,P018,S04,82,62,5084,2025-02-18 00:00:00,Delayed
PO00236,2025-08-08 00:00:00,P019,S07,87,125,10875,2025-08-13 00:00:00,Received
PO00237,2026-02-10 00:00:00,P013,S05,163,8,1304,2026-02-20 00:00:00,Open
PO00238,2025-09-28 00:00:00,P011,S02,171,42,7182,2025-10-21 00:00:00,Received
PO00239,2026-05-26 00:00:00,P020,S05,25,38,950,2026-06-19 00:00:00,Received
PO00240,2025-10-13 00:00:00,P019,S07,138,125,17250,2025-10-18 00:00:00,Received
PO00241,2026-03-30 00:00:00,P017,S06,76,95,7220,2026-04-11 00:00:00,Received
PO00242,2025-11-13 00:00:00,P005,S01,50,35,1750,2025-12-04 00:00:00,Open
PO00243,2025-10-24 00:00:00,P013,S07,25,8,200,2025-11-12 00:00:00,Received
PO00244,2025-12-04 00:00:00,P020,S01,176,38,6688,2025-12-26 00:00:00,Received
PO00245,2025-11-03 00:00:00,P001,S04,86,12,1032,2025-11-14 00:00:00,Delayed
PO00246,2026-03-04 00:00:00,P010,S02,150,105,15750,2026-03-24 00:00:00,Received
PO00247,2025-12-17 00:00:00,P008,S06,175,185,32375,2025-12-28 00:00:00,Received
PO00248,2026-05-26 00:00:00,P008,S02,93,185,17205,2026-06-16 00:00:00,Open
PO00249,2026-06-09 00:00:00,P019,S04,133,125,16625,2026-06-17 00:00:00,Open
PO00250,2026-05-07 00:00:00,P006,S06,116,32,3712,2026-05-23 00:00:00,Received
PO00251,2025-01-09 00:00:00,P012,S08,195,78,15210,2025-01-26 00:00:00,Received
PO00252,2026-05-12 00:00:00,P007,S06,99,115,11385,2026-05-20 00:00:00,Open
PO00253,2026-03-16 00:00:00,P016,S01,142,48,6816,2026-03-21 00:00:00,Received
PO00254,2025-04-18 00:00:00,P009,S01,157,58,9106,2025-04-23 00:00:00,Received
PO00255,2025-09-02 00:00:00,P010,S01,52,105,5460,2025-09-13 00:00:00,Received
PO00256,2025-09-12 00:00:00,P010,S05,159,105,16695,2025-09-25 00:00:00,Received
PO00257,2025-02-02 00:00:00,P010,S08,63,105,6615,2025-02-07 00:00:00,Received
PO00258,2025-01-23 00:00:00,P020,S03,32,38,1216,2025-02-12 00:00:00,Received
PO00259,2025-02-18 00:00:00,P016,S07,171,48,8208,2025-03-12 00:00:00,Open
PO00260,2026-04-07 00:00:00,P001,S01,191,12,2292,2026-04-26 00:00:00,Received
PO00261,2025-12-02 00:00:00,P017,S03,76,95,7220,2025-12-12 00:00:00,Received
PO00262,2025-12-24 00:00:00,P014,S03,115,10,1150,2025-12-30 00:00:00,Delayed
PO00263,2025-05-02 00:00:00,P019,S02,163,125,20375,2025-05-15 00:00:00,Received
PO00264,2026-03-20 00:00:00,P017,S04,128,95,12160,2026-03-28 00:00:00,Received
PO00265,2025-12-25 00:00:00,P014,S05,139,10,1390,2026-01-11 00:00:00,Received
PO00266,2025-12-12 00:00:00,P008,S03,119,185,22015,2025-12-27 00:00:00,Received
PO00267,2025-07-12 00:00:00,P009,S07,168,58,9744,2025-07-29 00:00:00,Received
PO00268,2026-02-20 00:00:00,P008,S05,130,185,24050,2026-03-07 00:00:00,Received
PO00269,2026-01-12 00:00:00,P013,S02,70,8,560,2026-02-04 00:00:00,Received
PO00270,2026-04-08 00:00:00,P017,S01,40,95,3800,2026-04-20 00:00:00,Delayed
PO00271,2025-05-26 00:00:00,P019,S06,79,125,9875,2025-06-06 00:00:00,Open
PO00272,2026-04-23 00:00:00,P007,S03,198,115,22770,2026-05-13 00:00:00,Delayed
PO00273,2026-02-12 00:00:00,P017,S04,40,95,3800,2026-02-19 00:00:00,Open
PO00274,2025-10-13 00:00:00,P001,S06,126,12,1512,2025-11-03 00:00:00,Open
PO00275,2025-04-21 00:00:00,P005,S02,145,35,5075,2025-05-13 00:00:00,Delayed
PO00276,2025-02-19 00:00:00,P006,S05,153,32,4896,2025-03-10 00:00:00,Received
PO00277,2025-01-14 00:00:00,P002,S07,92,18,1656,2025-02-04 00:00:00,Received
PO00278,2025-05-14 00:00:00,P016,S08,95,48,4560,2025-05-29 00:00:00,Received
PO00279,2025-12-09 00:00:00,P005,S01,97,35,3395,2025-12-18 00:00:00,Received
PO00280,2025-10-13 00:00:00,P005,S05,153,35,5355,2025-11-02 00:00:00,Received
PO00281,2025-11-10 00:00:00,P012,S04,84,78,6552,2025-11-29 00:00:00,Open
PO00282,2025-10-24 00:00:00,P003,S03,105,28,2940,2025-11-07 00:00:00,Delayed
PO00283,2025-06-13 00:00:00,P016,S04,53,48,2544,2025-07-01 00:00:00,Received
PO00284,2026-05-12 00:00:00,P006,S05,75,32,2400,2026-05-18 00:00:00,Received
PO00285,2025-01-16 00:00:00,P015,S05,94,25,2350,2025-02-05 00:00:00,Received
PO00286,2025-12-10 00:00:00,P015,S06,22,25,550,2026-01-02 00:00:00,Delayed
PO00287,2025-03-19 00:00:00,P016,S04,189,48,9072,2025-03-31 00:00:00,Open
PO00288,2025-12-12 00:00:00,P020,S04,25,38,950,2025-12-31 00:00:00,Received
PO00289,2025-03-13 00:00:00,P013,S04,25,8,200,2025-03-27 00:00:00,Open
PO00290,2025-09-27 00:00:00,P012,S01,167,78,13026,2025-10-06 00:00:00,Received
PO00291,2025-10-14 00:00:00,P010,S07,168,105,17640,2025-11-07 00:00:00,Open
PO00292,2025-03-07 00:00:00,P014,S05,21,10,210,2025-03-27 00:00:00,Received
PO00293,2025-03-09 00:00:00,P002,S02,109,18,1962,2025-03-25 00:00:00,Received
PO00294,2025-07-12 00:00:00,P003,S01,75,28,2100,2025-07-29 00:00:00,Received
