Order_ID,Order_Date,Product_ID,Quantity,Customer_Type,Sales_Channel,Revenue_GBP,COGS_GBP,Gross_Profit_GBP
O00080,2026-04-30 00:00:00,P015,9,Business,Online,378,225,153
O00081,2026-02-11 00:00:00,P012,20,Retail,Direct,2380,1560,820
O00082,2025-08-19 00:00:00,P016,28,Business,Distributor,2212,1344,868
O00083,2025-06-20 00:00:00,P008,1,Retail,Online,259,185,74
O00084,2026-06-25 00:00:00,P014,8,Business,Distributor,144,80,64
O00085,2025-02-05 00:00:00,P017,23,Retail,Direct,3197,2185,1012
O00086,2026-06-09 00:00:00,P008,23,Retail,Direct,5957,4255,1702
O00087,2025-06-09 00:00:00,P015,3,Wholesale,Direct,126,75,51
O00088,2025-08-31 00:00:00,P014,4,Retail,Direct,72,40,32
O00089,2025-03-27 00:00:00,P018,26,Retail,Online,2470,1612,858
O00090,2025-01-28 00:00:00,P020,25,Retail,Direct,1625,950,675
O00091,2025-12-06 00:00:00,P007,15,Retail,Online,2535,1725,810
O00092,2025-11-27 00:00:00,P003,6,Retail,Distributor,294,168,126
O00093,2026-05-21 00:00:00,P012,15,Retail,Distributor,1785,1170,615
O00094,2025-12-14 00:00:00,P003,21,Wholesale,Online,1029,588,441
O00095,2026-04-18 00:00:00,P020,3,Retail,Online,195,114,81
O00096,2025-08-19 00:00:00,P014,25,Wholesale,Direct,450,250,200
O00097,2025-07-09 00:00:00,P015,21,Business,Online,882,525,357
O00098,2025-08-13 00:00:00,P014,21,Retail,Distributor,378,210,168
O00099,2026-01-20 00:00:00,P007,14,Business,Online,2366,1610,756
O00100,2026-01-12 00:00:00,P017,20,Retail,Online,2780,1900,880
O00101,2025-10-10 00:00:00,P012,14,Business,Distributor,1666,1092,574
O00102,2025-09-16 00:00:00,P020,4,Retail,Direct,260,152,108
O00103,2025-12-25 00:00:00,P004,12,Retail,Direct,468,264,204
O00104,2026-04-01 00:00:00,P009,17,Wholesale,Online,1513,986,527
O00105,2026-02-15 00:00:00,P006,7,Wholesale,Direct,385,224,161
O00106,2025-11-14 00:00:00,P016,9,Wholesale,Direct,711,432,279
O00107,2025-08-13 00:00:00,P002,3,Retail,Direct,96,54,42
O00108,2025-08-22 00:00:00,P008,28,Business,Direct,7252,5180,2072
O00109,2026-01-09 00:00:00,P011,13,Retail,Direct,897,546,351
O00110,2026-04-17 00:00:00,P013,15,Retail,Online,225,120,105
O00111,2025-08-21 00:00:00,P017,18,Retail,Online,2502,1710,792
O00112,2025-04-23 00:00:00,P008,19,Business,Direct,4921,3515,1406
O00113,2026-05-12 00:00:00,P018,1,Retail,Online,95,62,33
O00114,2026-03-18 00:00:00,P018,6,Retail,Direct,570,372,198
O00115,2025-09-25 00:00:00,P014,27,Wholesale,Online,486,270,216
O00116,2026-05-25 00:00:00,P015,27,Retail,Direct,1134,675,459
O00117,2026-01-21 00:00:00,P006,23,Retail,Direct,1265,736,529
O00118,2026-01-22 00:00:00,P011,27,Retail,Online,1863,1134,729
O00119,2025-04-23 00:00:00,P013,27,Wholesale,Online,405,216,189
O00120,2025-03-22 00:00:00,P001,2,Retail,Online,44,24,20
O00121,2025-04-23 00:00:00,P006,24,Retail,Direct,1320,768,552
O00122,2025-01-02 00:00:00,P009,14,Business,Direct,1246,812,434
O00123,2025-08-08 00:00:00,P008,6,Business,Online,1554,1110,444
O00124,2025-08-13 00:00:00,P011,14,Retail,Direct,966,588,378
O00125,2026-01-20 00:00:00,P019,4,Business,Online,716,500,216
O00126,2026-02-07 00:00:00,P009,21,Business,Online,1869,1218,651
O00127,2025-05-10 00:00:00,P017,8,Business,Distributor,1112,760,352
O00128,2025-02-22 00:00:00,P012,30,Retail,Online,3570,2340,1230
O00129,2026-02-20 00:00:00,P014,3,Wholesale,Online,54,30,24
O00130,2025-09-04 00:00:00,P015,19,Retail,Online,798,475,323
O00131,2026-03-15 00:00:00,P016,30,Retail,Online,2370,1440,930
O00132,2025-07-22 00:00:00,P020,14,Retail,Online,910,532,378
O00133,2025-07-03 00:00:00,P001,27,Retail,Online,594,324,270
O00134,2025-05-03 00:00:00,P010,20,Retail,Direct,2980,2100,880
O00135,2026-02-05 00:00:00,P008,17,Business,Online,4403,3145,1258
O00136,2025-10-21 00:00:00,P018,25,Retail,Online,2375,1550,825
O00137,2025-10-07 00:00:00,P001,8,Retail,Online,176,96,80
O00138,2025-07-17 00:00:00,P002,24,Retail,Online,768,432,336
O00139,2026-05-26 00:00:00,P001,14,Retail,Direct,308,168,140
O00140,2025-05-24 00:00:00,P001,26,Wholesale,Distributor,572,312,260
O00141,2025-07-20 00:00:00,P009,6,Retail,Online,534,348,186
O00142,2025-05-04 00:00:00,P013,23,Retail,Distributor,345,184,161
O00143,2025-07-06 00:00:00,P001,22,Retail,Direct,484,264,220
O00144,2025-11-22 00:00:00,P013,16,Retail,Direct,240,128,112
O00145,2026-04-09 00:00:00,P020,25,Retail,Online,1625,950,675
O00146,2025-12-15 00:00:00,P007,19,Business,Online,3211,2185,1026
O00147,2026-02-07 00:00:00,P002,14,Wholesale,Online,448,252,196
O00148,2025-12-12 00:00:00,P006,19,Retail,Direct,1045,608,437
O00149,2026-05-26 00:00:00,P007,3,Business,Online,507,345,162
O00150,2025-05-27 00:00:00,P014,10,Business,Distributor,180,100,80
O00151,2025-05-28 00:00:00,P018,19,Business,Online,1805,1178,627
O00152,2026-05-04 00:00:00,P015,9,Retail,Online,378,225,153
O00153,2025-12-04 00:00:00,P002,28,Retail,Direct,896,504,392
O00154,2026-04-18 00:00:00,P010,20,Retail,Online,2980,2100,880
O00155,2025-05-31 00:00:00,P012,13,Business,Online,1547,1014,533
O00156,2026-02-19 00:00:00,P017,7,Business,Direct,973,665,308
O00157,2025-10-25 00:00:00,P008,14,Retail,Distributor,3626,2590,1036
O00158,2025-09-20 00:00:00,P011,9,Retail,Direct,621,378,243
O00159,2025-05-24 00:00:00,P003,27,Wholesale,Direct,1323,756,567
O00160,2025-12-12 00:00:00,P006,28,Business,Direct,1540,896,644
O00161,2025-01-02 00:00:00,P009,23,Wholesale,Distributor,2047,1334,713
O00162,2025-10-31 00:00:00,P006,25,Business,Online,1375,800,575
O00163,2025-09-11 00:00:00,P009,28,Retail,Online,2492,1624,868
O00164,2026-03-29 00:00:00,P007,19,Business,Online,3211,2185,1026
O00165,2025-02-06 00:00:00,P009,15,Business,Online,1335,870,465
O00166,2025-06-09 00:00:00,P018,20,Retail,Direct,1900,1240,660
O00167,2025-01-09 00:00:00,P012,14,Retail,Direct,1666,1092,574
O00168,2025-08-21 00:00:00,P008,24,Business,Direct,6216,4440,1776
O00169,2025-04-09 00:00:00,P008,6,Retail,Online,1554,1110,444
O00170,2025-07-27 00:00:00,P018,21,Business,Direct,1995,1302,693
O00171,2025-05-11 00:00:00,P020,29,Business,Online,1885,1102,783
O00172,2026-02-08 00:00:00,P015,4,Wholesale,Direct,168,100,68
O00173,2025-06-01 00:00:00,P007,8,Retail,Direct,1352,920,432
O00174,2025-02-23 00:00:00,P011,17,Retail,Online,1173,714,459
O00175,2025-04-30 00:00:00,P020,30,Business,Online,1950,1140,810
O00176,2026-02-24 00:00:00,P016,9,Retail,Online,711,432,279
O00177,2026-02-26 00:00:00,P004,1,Business,Direct,39,22,17
O00178,2025-04-14 00:00:00,P006,24,Business,Distributor,1320,768,552
O00179,2025-09-11 00:00:00,P003,20,Retail,Direct,980,560,420
O00180,2025-08-15 00:00:00,P009,25,Retail,Online,2225,1450,775
O00181,2025-04-22 00:00:00,P010,14,Retail,Online,2086,1470,616
O00182,2026-05-25 00:00:00,P014,11,Retail,Direct,198,110,88
O00183,2026-04-18 00:00:00,P011,21,Wholesale,Direct,1449,882,567
O00184,2025-04-09 00:00:00,P018,3,Business,Online,285,186,99
O00185,2025-06-02 00:00:00,P012,9,Business,Online,1071,702,369
O00186,2025-12-04 00:00:00,P012,27,Business,Direct,3213,2106,1107
O00187,2025-06-12 00:00:00,P013,14,Retail,Online,210,112,98
O00188,2025-06-10 00:00:00,P013,30,Wholesale,Online,450,240,210
O00189,2026-02-02 00:00:00,P019,9,Business,Online,1611,1125,486
O00190,2025-10-04 00:00:00,P019,4,Business,Online,716,500,216
O00191,2026-05-19 00:00:00,P014,27,Wholesale,Distributor,486,270,216
O00192,2026-01-27 00:00:00,P004,4,Retail,Distributor,156,88,68
O00193,2025-05-15 00:00:00,P013,28,Business,Direct,420,224,196
O00194,2025-07-14 00:00:00,P008,8,Retail,Online,2072,1480,592
O00195,2026-02-05 00:00:00,P019,2,Retail,Online,358,250,108
O00196,2025-02-02 00:00:00,P012,9,Retail,Online,1071,702,369
O00197,2026-04-05 00:00:00,P018,29,Wholesale,Online,2755,1798,957
O00198,2026-04-15 00:00:00,P006,14,Wholesale,Direct,770,448,322
O00199,2026-01-10 00:00:00,P018,22,Business,Online,2090,1364,726
O00200,2025-01-22 00:00:00,P019,9,Business,Online,1611,1125,486
O00201,2025-02-07 00:00:00,P005,24,Business,Online,1416,840,576
O00202,2025-08-18 00:00:00,P009,23,Wholesale,Online,2047,1334,713
O00203,2025-12-31 00:00:00,P003,16,Retail,Online,784,448,336
O00204,2026-03-14 00:00:00,P010,29,Retail,Online,4321,3045,1276
O00205,2025-10-10 00:00:00,P019,30,Retail,Distributor,5370,3750,1620
O00206,2025-01-27 00:00:00,P003,17,Business,Online,833,476,357
O00207,2025-08-14 00:00:00,P015,16,Business,Online,672,400,272
O00208,2025-10-04 00:00:00,P001,30,Retail,Distributor,660,360,300
O00209,2025-10-11 00:00:00,P007,12,Retail,Distributor,2028,1380,648
O00210,2026-04-26 00:00:00,P012,3,Business,Direct,357,234,123
O00211,2026-03-29 00:00:00,P017,11,Retail,Direct,1529,1045,484
O00212,2026-05-31 00:00:00,P020,14,Business,Online,910,532,378
O00213,2025-07-11 00:00:00,P005,18,Wholesale,Online,1062,630,432
O00214,2025-02-18 00:00:00,P004,21,Retail,Online,819,462,357
O00215,2026-05-27 00:00:00,P012,21,Retail,Direct,2499,1638,861
O00216,2025-01-17 00:00:00,P020,5,Business,Direct,325,190,135
O00217,2025-06-21 00:00:00,P018,16,Business,Online,1520,992,528
O00218,2025-08-08 00:00:00,P017,20,Retail,Online,2780,1900,880
O00219,2025-06-07 00:00:00,P019,5,Wholesale,Direct,895,625,270
O00220,2026-04-22 00:00:00,P009,3,Retail,Online,267,174,93
O00221,2025-02-15 00:00:00,P004,12,Retail,Direct,468,264,204
O00222,2026-01-08 00:00:00,P002,1,Business,Direct,32,18,14
O00223,2026-06-02 00:00:00,P004,21,Wholesale,Direct,819,462,357
O00224,2025-04-09 00:00:00,P002,29,Retail,Direct,928,522,406
O00225,2025-02-06 00:00:00,P015,9,Business,Distributor,378,225,153
O00226,2025-10-07 00:00:00,P002,29,Business,Online,928,522,406
O00227,2025-12-15 00:00:00,P004,9,Retail,Direct,351,198,153
O00228,2026-05-12 00:00:00,P006,4,Retail,Direct,220,128,92
O00229,2025-10-29 00:00:00,P007,3,Wholesale,Online,507,345,162
O00230,2025-06-30 00:00:00,P010,17,Retail,Online,2533,1785,748
O00231,2025-04-09 00:00:00,P019,2,Retail,Online,358,250,108
O00232,2025-04-26 00:00:00,P019,24,Retail,Online,4296,3000,1296
O00233,2025-07-10 00:00:00,P012,1,Wholesale,Direct,119,78,41
O00234,2025-09-10 00:00:00,P003,8,Business,Direct,392,224,168
O00235,2025-06-10 00:00:00,P013,13,Business,Online,195,104,91
O00236,2025-09-13 00:00:00,P018,23,Retail,Online,2185,1426,759
O00237,2025-11-19 00:00:00,P008,15,Business,Distributor,3885,2775,1110
O00238,2025-05-08 00:00:00,P015,8,Business,Online,336,200,136
O00239,2025-01-18 00:00:00,P001,12,Business,Online,264,144,120
O00240,2025-11-19 00:00:00,P003,22,Wholesale,Direct,1078,616,462
O00241,2025-10-15 00:00:00,P008,12,Retail,Online,3108,2220,888
O00242,2025-06-04 00:00:00,P004,14,Business,Online,546,308,238
O00243,2026-05-05 00:00:00,P016,15,Retail,Online,1185,720,465
O00244,2026-01-21 00:00:00,P010,15,Retail,Online,2235,1575,660
O00245,2025-04-14 00:00:00,P012,9,Retail,Direct,1071,702,369
O00246,2026-01-28 00:00:00,P014,19,Retail,Online,342,190,152
O00247,2025-09-03 00:00:00,P014,26,Retail,Online,468,260,208
O00248,2025-06-25 00:00:00,P002,20,Business,Direct,640,360,280
O00249,2025-02-08 00:00:00,P005,29,Retail,Direct,1711,1015,696
O00250,2026-04-22 00:00:00,P005,22,Business,Online,1298,770,528
O00251,2026-06-22 00:00:00,P006,8,Retail,Online,440,256,184
O00252,2026-02-12 00:00:00,P013,21,Retail,Direct,315,168,147
O00253,2026-06-09 00:00:00,P009,19,Business,Online,1691,1102,589
O00254,2026-05-21 00:00:00,P015,6,Retail,Online,252,150,102
O00255,2025-02-05 00:00:00,P014,20,Retail,Direct,360,200,160
O00256,2025-01-20 00:00:00,P007,25,Business,Distributor,4225,2875,1350
O00257,2025-11-17 00:00:00,P020,29,Retail,Direct,1885,1102,783
O00258,2026-05-27 00:00:00,P002,19,Retail,Direct,608,342,266
O00259,2026-02-04 00:00:00,P007,4,Retail,Direct,676,460,216
O00260,2026-04-16 00:00:00,P006,23,Wholesale,Online,1265,736,529
O00261,2025-05-23 00:00:00,P017,7,Business,Direct,973,665,308
O00262,2025-04-02 00:00:00,P002,28,Business,Online,896,504,392
O00263,2025-12-20 00:00:00,P003,28,Business,Online,1372,784,588
O00264,2025-02-20 00:00:00,P005,4,Retail,Direct,236,140,96
O00265,2025-07-09 00:00:00,P005,22,Retail,Direct,1298,770,528
O00266,2025-05-05 00:00:00,P001,12,Business,Online,264,144,120
O00267,2025-05-30 00:00:00,P008,13,Retail,Distributor,3367,2405,962
O00268,2025-11-10 00:00:00,P012,3,Retail,Online,357,234,123
O00269,2025-12-08 00:00:00,P004,22,Retail,Online,858,484,374
O00270,2025-11-01 00:00:00,P013,12,Retail,Online,180,96,84
O00271,2025-02-23 00:00:00,P015,2,Wholesale,Direct,84,50,34
O00272,2026-03-20 00:00:00,P011,24,Retail,Direct,1656,1008,648
O00273,2025-09-21 00:00:00,P010,2,Retail,Online,298,210,88
O00274,2025-02-22 00:00:00,P003,27,Retail,Direct,1323,756,567
O00275,2025-01-05 00:00:00,P014,23,Wholesale,Online,414,230,184
O00276,2025-04-13 00:00:00,P016,9,Retail,Direct,711,432,279
O00277,2025-07-15 00:00:00,P010,1,Retail,Online,149,105,44
O00278,2025-12-16 00:00:00,P010,8,Business,Online,1192,840,352
O00279,2025-02-16 00:00:00,P012,23,Business,Distributor,2737,1794,943
O00280,2025-09-26 00:00:00,P009,6,Retail,Online,534,348,186
O00281,2026-01-05 00:00:00,P001,6,Retail,Online,132,72,60
O00282,2025-04-16 00:00:00,P005,22,Retail,Direct,1298,770,528
O00283,2025-04-30 00:00:00,P020,25,Retail,Distributor,1625,950,675
O00284,2025-02-27 00:00:00,P008,18,Retail,Online,4662,3330,1332
O00285,2025-12-12 00:00:00,P011,17,Retail,Online,1173,714,459
O00286,2026-04-19 00:00:00,P012,29,Retail,Online,3451,2262,1189
O00287,2025-04-27 00:00:00,P001,12,Retail,Online,264,144,120
O00288,2025-05-07 00:00:00,P020,6,Business,Online,390,228,162
O00289,2026-01-28 00:00:00,P011,26,Wholesale,Direct,1794,1092,702
O00290,2025-02-27 00:00:00,P005,27,Business,Distributor,1593,945,648
O00291,2026-05-28 00:00:00,P015,8,Retail,Online,336,200,136
O00292,2025-04-06 00:00:00,P005,19,Retail,Online,1121,665,456
O00293,2025-04-28 00:00:00,P012,28,Wholesale,Online,3332,2184,1148
O00294,2026-05-03 00:00:00,P005,10,Retail,Online,590,350,240
O00295,2025-08-25 00:00:00,P017,1,Retail,Distributor,139,95,44
O00296,2025-09-29 00:00:00,P017,25,Business,Online,3475,2375,1100
O00297,2025-07-08 00:00:00,P012,29,Business,Online,3451,2262,1189
O00298,2026-03-23 00:00:00,P015,13,Business,Direct,546,325,221
O00299,2025-09-04 00:00:00,P015,17,Retail,Online,714,425,289
O00300,2025-03-17 00:00:00,P006,3,Retail,Direct,165,96,69
O00301,2025-06-03 00:00:00,P012,8,Wholesale,Online,952,624,328
O00302,2026-03-11 00:00:00,P020,14,Retail,Direct,910,532,378
O00303,2025-03-27 00:00:00,P018,3,Business,Distributor,285,186,99
O00304,2025-10-12 00:00:00,P014,16,Business,Direct,288,160,128
O00305,2025-08-08 00:00:00,P002,13,Business,Distributor,416,234,182
O00306,2025-03-10 00:00:00,P009,20,Retail,Online,1780,1160,620
O00307,2025-02-16 00:00:00,P005,24,Retail,Online,1416,840,576
O00308,2025-04-04 00:00:00,P020,17,Business,Direct,1105,646,459
O00309,2026-03-29 00:00:00,P001,13,Wholesale,Direct,286,156,130
O00310,2025-07-23 00:00:00,P003,29,Wholesale,Online,1421,812,609
O00311,2025-08-06 00:00:00,P006,6,Retail,Online,330,192,138
O00312,2026-04-19 00:00:00,P005,17,Retail,Online,1003,595,408
O00313,2026-03-08 00:00:00,P005,14,Wholesale,Online,826,490,336
O00314,2025-12-07 00:00:00,P001,17,Business,Online,374,204,170
O00315,2025-10-16 00:00:00,P017,30,Wholesale,Direct,4170,2850,1320
O00316,2025-09-11 00:00:00,P019,8,Retail,Online,1432,1000,432
O00317,2025-12-23 00:00:00,P014,11,Business,Online,198,110,88
O00318,2025-01-23 00:00:00,P012,20,Business,Direct,2380,1560,820
O00319,2026-06-06 00:00:00,P010,28,Business,Direct,4172,2940,1232
O00320,2025-04-10 00:00:00,P020,1,Retail,Distributor,65,38,27
O00321,2025-06-29 00:00:00,P018,26,Retail,Direct,2470,1612,858
O00322,2025-08-11 00:00:00,P011,7,Business,Online,483,294,189
O00323,2026-03-18 00:00:00,P002,21,Retail,Direct,672,378,294
O00324,2025-11-21 00:00:00,P018,21,Retail,Online,1995,1302,693
O00325,2026-05-31 00:00:00,P007,17,Wholesale,Online,2873,1955,918
O00326,2025-01-16 00:00:00,P015,30,Retail,Direct,1260,750,510
O00327,2025-12-02 00:00:00,P011,10,Business,Distributor,690,420,270
O00328,2025-09-15 00:00:00,P018,11,Retail,Online,1045,682,363
O00329,2026-05-12 00:00:00,P012,22,Business,Online,2618,1716,902
O00330,2025-06-09 00:00:00,P006,30,Wholesale,Online,1650,960,690
O00331,2026-04-20 00:00:00,P020,9,Retail,Online,585,342,243
O00332,2026-01-15 00:00:00,P013,9,Retail,Online,135,72,63
O00333,2026-06-29 00:00:00,P020,24,Retail,Direct,1560,912,648
O00334,2026-03-03 00:00:00,P016,5,Retail,Online,395,240,155
O00335,2025-09-25 00:00:00,P018,17,Business,Distributor,1615,1054,561
O00336,2026-02-21 00:00:00,P010,9,Wholesale,Direct,1341,945,396
O00337,2025-06-17 00:00:00,P008,17,Retail,Direct,4403,3145,1258
O00338,2025-02-12 00:00:00,P018,24,Retail,Direct,2280,1488,792
O00339,2025-10-12 00:00:00,P001,21,Retail,Online,462,252,210
O00340,2026-02-01 00:00:00,P008,19,Business,Online,4921,3515,1406
O00341,2025-01-12 00:00:00,P006,27,Retail,Direct,1485,864,621
O00342,2025-10-29 00:00:00,P005,7,Business,Direct,413,245,168
O00343,2025-09-10 00:00:00,P015,23,Business,Direct,966,575,391
O00344,2026-05-14 00:00:00,P015,9,Business,Online,378,225,153
O00345,2025-02-04 00:00:00,P002,7,Retail,Distributor,224,126,98
O00346,2025-03-31 00:00:00,P001,13,Business,Online,286,156,130
O00347,2026-02-22 00:00:00,P011,11,Retail,Distributor,759,462,297
O00348,2025-04-25 00:00:00,P010,14,Retail,Distributor,2086,1470,616
O00349,2025-07-15 00:00:00,P018,19,Wholesale,Online,1805,1178,627
O00350,2026-05-16 00:00:00,P018,11,Business,Direct,1045,682,363
O00351,2026-05-08 00:00:00,P017,13,Retail,Online,1807,1235,572
O00352,2025-03-16 00:00:00,P008,14,Retail,Online,3626,2590,1036
O00353,2026-02-17 00:00:00,P015,13,Retail,Online,546,325,221
O00354,2026-01-11 00:00:00,P008,1,Retail,Direct,259,185,74
O00355,2026-02-24 00:00:00,P017,8,Retail,Distributor,1112,760,352
O00356,2025-10-04 00:00:00,P012,12,Retail,Direct,1428,936,492
O00357,2026-01-29 00:00:00,P008,19,Retail,Online,4921,3515,1406
O00358,2026-04-02 00:00:00,P014,12,Business,Direct,216,120,96
O00359,2025-07-11 00:00:00,P004,8,Business,Distributor,312,176,136
O00360,2025-04-09 00:00:00,P001,8,Business,Online,176,96,80
O00361,2025-04-06 00:00:00,P001,29,Retail,Distributor,638,348,290
O00362,2025-07-09 00:00:00,P019,21,Wholesale,Online,3759,2625,1134
O00363,2025-02-06 00:00:00,P016,13,Business,Direct,1027,624,403
O00364,2026-01-04 00:00:00,P014,12,Business,Online,216,120,96
O00365,2026-06-09 00:00:00,P016,29,Business,Online,2291,1392,899
O00366,2025-10-06 00:00:00,P005,16,Wholesale,Online,944,560,384
O00367,2025-08-05 00:00:00,P009,1,Retail,Direct,89,58,31
O00368,2025-09-30 00:00:00,P002,13,Retail,Online,416,234,182
O00369,2025-03-03 00:00:00,P018,26,Business,Online,2470,1612,858
O00370,2025-12-08 00:00:00,P006,7,Business,Direct,385,224,161
O00371,2026-02-01 00:00:00,P009,28,Business,Distributor,2492,1624,868
O00372,2025-01-19 00:00:00,P001,26,Retail,Online,572,312,260
O00373,2025-06-26 00:00:00,P009,5,Retail,Online,445,290,155
O00374,2026-01-31 00:00:00,P016,8,Retail,Online,632,384,248
O00375,2026-03-21 00:00:00,P013,25,Wholesale,Online,375,200,175
O00376,2025-08-21 00:00:00,P009,27,Business,Direct,2403,1566,837
O00377,2025-03-17 00:00:00,P013,14,Retail,Direct,210,112,98
O00378,2025-09-22 00:00:00,P009,23,Retail,Direct,2047,1334,713
O00379,2026-03-31 00:00:00,P011,30,Retail,Online,2070,1260,810
O00380,2026-01-19 00:00:00,P004,13,Wholesale,Direct,507,286,221
