Shipment_ID,Shipment_Date,Product_ID,Quantity,Warehouse,Carrier,Promised_Days,Actual_Days,On_Time,Transport_Cost_GBP,Month
SH00056,2025-03-10 00:00:00,P009,33,Manchester,DHL,4,2,Yes,21.29,2025-03
SH00057,2026-05-28 00:00:00,P019,24,London,DPD,2,3,No,19.61,2026-05
SH00058,2025-06-16 00:00:00,P020,20,London,Royal Mail,3,5,No,20.73,2025-06
SH00059,2026-01-03 00:00:00,P008,21,London,DHL,7,10,No,27.73,2026-01
SH00060,2025-09-08 00:00:00,P019,20,London,DPD,7,5,Yes,15.95,2025-09
SH00061,2025-06-19 00:00:00,P005,23,Manchester,Evri,3,3,Yes,14.99,2025-06
SH00062,2025-03-31 00:00:00,P011,12,Birmingham,Evri,5,5,Yes,14.13,2025-03
SH00063,2026-03-22 00:00:00,P015,42,Manchester,Evri,6,5,Yes,31.09,2026-03
SH00064,2025-10-21 00:00:00,P008,42,London,Evri,2,1,Yes,25.32,2025-10
SH00065,2025-05-30 00:00:00,P019,33,London,DPD,2,5,No,24.97,2025-05
SH00066,2025-05-12 00:00:00,P008,45,Birmingham,Royal Mail,2,3,No,22.83,2025-05
SH00067,2026-03-09 00:00:00,P019,40,London,DPD,3,3,Yes,27.73,2026-03
SH00068,2025-02-28 00:00:00,P018,30,Manchester,Royal Mail,5,9,No,29.1,2025-02
SH00069,2025-07-18 00:00:00,P010,35,London,DPD,4,3,Yes,24.27,2025-07
SH00070,2025-08-03 00:00:00,P007,48,Birmingham,Royal Mail,7,10,No,32.51,2025-08
SH00071,2026-04-17 00:00:00,P009,16,London,DPD,3,7,No,16.46,2026-04
SH00072,2025-09-04 00:00:00,P001,21,Birmingham,DHL,4,2,Yes,17.79,2025-09
SH00073,2026-01-17 00:00:00,P019,19,Manchester,Royal Mail,7,9,No,24.51,2026-01
SH00074,2025-08-27 00:00:00,P005,13,Birmingham,DHL,7,10,No,18.3,2025-08
SH00075,2026-01-02 00:00:00,P019,43,Birmingham,DHL,5,5,Yes,28.62,2026-01
SH00076,2025-06-17 00:00:00,P001,46,Manchester,DHL,6,6,Yes,27.79,2025-06
SH00077,2025-02-20 00:00:00,P015,16,Birmingham,DPD,2,2,Yes,17.51,2025-02
SH00078,2026-01-15 00:00:00,P016,36,London,DHL,4,6,No,26.32,2026-01
SH00079,2026-04-19 00:00:00,P007,29,London,Evri,3,7,No,21.48,2026-04
SH00080,2025-03-21 00:00:00,P012,43,Birmingham,DPD,4,4,Yes,26.86,2025-03
SH00081,2026-01-02 00:00:00,P008,22,Birmingham,DPD,6,7,No,21.17,2026-01
SH00082,2026-04-06 00:00:00,P005,19,London,DPD,2,5,No,16.59,2026-04
SH00083,2026-06-23 00:00:00,P010,36,London,Royal Mail,4,5,No,27.83,2026-06
SH00084,2026-03-28 00:00:00,P005,10,Manchester,Royal Mail,6,5,Yes,12.09,2026-03
SH00085,2026-04-09 00:00:00,P017,48,London,Royal Mail,3,5,No,27.8,2026-04
SH00086,2026-04-23 00:00:00,P005,47,London,Royal Mail,5,4,Yes,24.15,2026-04
SH00087,2026-02-24 00:00:00,P015,39,London,Evri,7,6,Yes,23.82,2026-02
SH00088,2025-08-02 00:00:00,P013,38,Manchester,Evri,3,2,Yes,21.48,2025-08
SH00089,2026-01-04 00:00:00,P001,42,London,Royal Mail,2,1,Yes,20.03,2026-01
SH00090,2025-04-24 00:00:00,P011,9,Birmingham,DHL,7,5,Yes,16.42,2025-04
SH00091,2026-05-18 00:00:00,P001,22,London,Royal Mail,3,5,No,16.89,2026-05
SH00092,2025-11-07 00:00:00,P011,20,Birmingham,DPD,3,3,Yes,19.31,2025-11
SH00093,2026-04-14 00:00:00,P018,12,Manchester,Royal Mail,3,3,Yes,11.32,2026-04
SH00094,2025-02-13 00:00:00,P018,29,London,Evri,3,1,Yes,15.52,2025-02
SH00095,2026-02-19 00:00:00,P016,36,Birmingham,Royal Mail,7,8,No,26.24,2026-02
SH00096,2025-09-03 00:00:00,P013,30,London,Evri,2,1,Yes,22.57,2025-09
SH00097,2025-03-25 00:00:00,P007,26,London,DHL,6,10,No,27.23,2025-03
SH00098,2025-07-26 00:00:00,P001,35,Manchester,DHL,4,3,Yes,25.11,2025-07
SH00099,2025-05-31 00:00:00,P016,47,London,DHL,5,3,Yes,24.28,2025-05
SH00100,2026-06-12 00:00:00,P001,14,Birmingham,Evri,4,6,No,20.97,2026-06
SH00101,2025-06-14 00:00:00,P017,16,London,Evri,4,5,No,14.17,2025-06
SH00102,2025-05-25 00:00:00,P006,32,London,Royal Mail,5,6,No,22.3,2025-05
SH00103,2025-02-06 00:00:00,P002,10,London,Royal Mail,7,7,Yes,18.73,2025-02
SH00104,2025-11-29 00:00:00,P017,24,Birmingham,Royal Mail,2,2,Yes,17.2,2025-11
SH00105,2026-02-07 00:00:00,P006,9,Birmingham,Evri,5,5,Yes,19.52,2026-02
SH00106,2026-02-18 00:00:00,P014,27,Birmingham,Evri,2,2,Yes,15.49,2026-02
SH00107,2025-02-14 00:00:00,P018,13,London,Royal Mail,7,10,No,25.54,2025-02
SH00108,2026-02-06 00:00:00,P006,33,London,Royal Mail,4,6,No,25.94,2026-02
SH00109,2025-07-25 00:00:00,P010,20,Manchester,DHL,2,6,No,20.87,2025-07
SH00110,2025-03-03 00:00:00,P018,50,Manchester,Royal Mail,7,5,Yes,26.48,2025-03
SH00111,2026-02-24 00:00:00,P009,26,London,DPD,7,9,No,23.39,2026-02
SH00112,2026-04-13 00:00:00,P008,12,Birmingham,DHL,6,6,Yes,21,2026-04
SH00113,2025-01-19 00:00:00,P010,24,London,Evri,5,7,No,21.53,2025-01
SH00114,2025-12-31 00:00:00,P017,18,Manchester,DPD,6,4,Yes,19.19,2025-12
SH00115,2025-10-27 00:00:00,P006,43,Manchester,Evri,4,4,Yes,30.65,2025-10
SH00116,2025-01-07 00:00:00,P014,41,Manchester,DHL,5,5,Yes,24.95,2025-01
SH00117,2026-03-04 00:00:00,P006,38,Manchester,DPD,4,4,Yes,25.51,2026-03
SH00118,2025-04-27 00:00:00,P007,15,London,DPD,6,6,Yes,20.22,2025-04
SH00119,2026-05-22 00:00:00,P012,44,Manchester,DHL,7,6,Yes,26.12,2026-05
SH00120,2026-06-30 00:00:00,P003,37,Birmingham,DPD,4,4,Yes,21.74,2026-06
SH00121,2025-11-21 00:00:00,P014,35,London,DHL,5,5,Yes,24.4,2025-11
SH00122,2025-02-24 00:00:00,P019,48,Birmingham,DHL,5,3,Yes,26.59,2025-02
SH00123,2025-02-11 00:00:00,P016,38,Manchester,DHL,4,7,No,29.31,2025-02
SH00124,2025-10-24 00:00:00,P007,11,Manchester,DHL,5,5,Yes,12.91,2025-10
SH00125,2025-08-19 00:00:00,P008,27,London,Royal Mail,7,7,Yes,27.53,2025-08
SH00126,2026-03-29 00:00:00,P018,50,Birmingham,DHL,7,7,Yes,27.91,2026-03
SH00127,2026-01-29 00:00:00,P013,11,Manchester,Royal Mail,5,5,Yes,17.16,2026-01
SH00128,2026-06-06 00:00:00,P009,29,London,Royal Mail,4,4,Yes,22.25,2026-06
SH00129,2025-12-24 00:00:00,P010,7,Birmingham,DPD,6,6,Yes,12.93,2025-12
SH00130,2026-03-20 00:00:00,P009,42,Birmingham,Evri,5,5,Yes,24.41,2026-03
SH00131,2025-05-08 00:00:00,P015,24,London,Royal Mail,5,3,Yes,21.44,2025-05
SH00132,2026-02-09 00:00:00,P020,38,London,Royal Mail,5,5,Yes,28.9,2026-02
SH00133,2026-01-27 00:00:00,P002,48,Birmingham,DHL,5,8,No,30.26,2026-01
SH00134,2025-07-12 00:00:00,P013,48,Manchester,Royal Mail,4,6,No,29.7,2025-07
SH00135,2025-03-19 00:00:00,P002,34,Birmingham,Evri,6,5,Yes,23.24,2025-03
SH00136,2025-03-26 00:00:00,P019,21,Manchester,DPD,6,4,Yes,15.53,2025-03
SH00137,2025-01-30 00:00:00,P002,14,London,DHL,2,2,Yes,16.09,2025-01
SH00138,2025-02-18 00:00:00,P003,39,London,DPD,5,5,Yes,28.75,2025-02
SH00139,2025-05-25 00:00:00,P006,24,Birmingham,Royal Mail,5,3,Yes,17.54,2025-05
SH00140,2025-03-10 00:00:00,P003,22,London,DPD,2,2,Yes,21.42,2025-03
SH00141,2025-02-27 00:00:00,P010,49,Manchester,Royal Mail,6,6,Yes,27.16,2025-02
SH00142,2026-04-24 00:00:00,P006,48,London,DHL,3,3,Yes,28.79,2026-04
SH00143,2026-03-21 00:00:00,P016,31,London,Evri,7,7,Yes,24.74,2026-03
SH00144,2025-10-23 00:00:00,P017,40,London,DHL,3,7,No,27.87,2025-10
SH00145,2025-06-20 00:00:00,P019,27,Manchester,DHL,6,4,Yes,20.71,2025-06
SH00146,2025-05-27 00:00:00,P003,36,London,Royal Mail,5,5,Yes,23.17,2025-05
SH00147,2026-04-29 00:00:00,P018,14,London,DHL,3,3,Yes,17.32,2026-04
SH00148,2025-11-02 00:00:00,P007,15,London,DHL,4,2,Yes,16.82,2025-11
SH00149,2026-03-22 00:00:00,P009,42,Manchester,DHL,4,3,Yes,23.66,2026-03
SH00150,2025-08-09 00:00:00,P020,10,London,DPD,2,1,Yes,15.08,2025-08
SH00151,2026-01-13 00:00:00,P012,45,London,Evri,6,7,No,28.58,2026-01
SH00152,2025-09-23 00:00:00,P005,38,London,Evri,6,6,Yes,28.5,2025-09
SH00153,2025-04-05 00:00:00,P003,40,Birmingham,DPD,3,5,No,23.47,2025-04
SH00154,2025-09-19 00:00:00,P011,41,London,DHL,5,5,Yes,24.2,2025-09
SH00155,2025-03-12 00:00:00,P004,21,London,DPD,6,10,No,22.88,2025-03
SH00156,2025-08-07 00:00:00,P005,44,London,Royal Mail,3,5,No,28.65,2025-08
SH00157,2026-06-17 00:00:00,P001,44,Birmingham,DPD,3,3,Yes,27.26,2026-06
SH00158,2025-04-02 00:00:00,P018,16,Birmingham,DHL,7,7,Yes,19.07,2025-04
SH00159,2025-05-07 00:00:00,P012,25,Birmingham,DHL,7,7,Yes,19.67,2025-05
SH00160,2025-03-21 00:00:00,P013,44,Manchester,Royal Mail,6,6,Yes,27.79,2025-03
SH00161,2025-08-26 00:00:00,P009,23,Manchester,DPD,3,7,No,23.86,2025-08
SH00162,2026-01-07 00:00:00,P002,7,London,Evri,2,2,Yes,13.62,2026-01
SH00163,2026-05-01 00:00:00,P005,22,Manchester,DPD,2,3,No,15.68,2026-05
SH00164,2025-01-25 00:00:00,P013,23,Birmingham,DHL,7,10,No,21.11,2025-01
SH00165,2025-06-05 00:00:00,P016,10,Manchester,DPD,6,10,No,22.52,2025-06
SH00166,2026-06-01 00:00:00,P016,20,London,DPD,5,7,No,18.15,2026-06
SH00167,2026-06-14 00:00:00,P003,12,Birmingham,DHL,2,2,Yes,10.66,2026-06
SH00168,2025-02-26 00:00:00,P004,22,London,DHL,2,1,Yes,12.62,2025-02
SH00169,2025-01-19 00:00:00,P011,47,Manchester,DHL,7,7,Yes,30.21,2025-01
SH00170,2026-01-19 00:00:00,P014,43,London,DHL,7,8,No,30.28,2026-01
SH00171,2025-07-12 00:00:00,P003,16,London,DPD,6,6,Yes,20.1,2025-07
SH00172,2025-08-25 00:00:00,P016,49,London,Evri,7,5,Yes,28.02,2025-08
SH00173,2026-01-22 00:00:00,P015,14,London,DPD,4,5,No,19.08,2026-01
SH00174,2026-03-02 00:00:00,P010,11,Birmingham,Royal Mail,3,1,Yes,10.1,2026-03
SH00175,2025-10-04 00:00:00,P009,50,London,DPD,2,6,No,33.56,2025-10
SH00176,2025-08-15 00:00:00,P011,5,London,DPD,4,2,Yes,12.12,2025-08
SH00177,2025-11-19 00:00:00,P016,40,Manchester,DHL,5,6,No,28.07,2025-11
SH00178,2025-06-02 00:00:00,P010,25,London,DPD,4,2,Yes,16.23,2025-06
SH00179,2025-08-25 00:00:00,P017,41,Birmingham,DPD,6,8,No,26.14,2025-08
SH00180,2025-02-24 00:00:00,P019,28,London,DHL,5,5,Yes,22.02,2025-02
SH00181,2026-03-12 00:00:00,P002,29,London,Royal Mail,5,6,No,24.47,2026-03
SH00182,2025-04-19 00:00:00,P002,11,Manchester,DPD,7,9,No,16.71,2025-04
SH00183,2025-07-03 00:00:00,P006,46,Manchester,DPD,4,2,Yes,29.5,2025-07
SH00184,2026-01-03 00:00:00,P019,21,London,DHL,6,4,Yes,22.79,2026-01
SH00185,2025-07-17 00:00:00,P008,33,Manchester,Royal Mail,2,2,Yes,21.71,2025-07
SH00186,2026-01-06 00:00:00,P003,34,Manchester,Royal Mail,7,8,No,30.7,2026-01
SH00187,2026-01-08 00:00:00,P014,11,Manchester,DHL,4,8,No,16.49,2026-01
SH00188,2026-05-12 00:00:00,P016,37,London,DHL,2,1,Yes,18.05,2026-05
SH00189,2025-07-20 00:00:00,P001,11,London,DPD,4,4,Yes,11.77,2025-07
SH00190,2026-05-24 00:00:00,P003,28,Birmingham,DHL,7,10,No,27.5,2026-05
SH00191,2025-11-18 00:00:00,P018,15,Birmingham,Royal Mail,2,6,No,15.14,2025-11
SH00192,2025-10-02 00:00:00,P009,13,London,Royal Mail,7,7,Yes,22.52,2025-10
SH00193,2025-07-30 00:00:00,P006,16,Manchester,DHL,4,3,Yes,13.44,2025-07
SH00194,2026-05-19 00:00:00,P001,39,London,DHL,5,5,Yes,24.59,2026-05
SH00195,2025-04-28 00:00:00,P010,8,Birmingham,Royal Mail,3,2,Yes,15.18,2025-04
SH00196,2025-02-11 00:00:00,P006,40,London,DHL,5,3,Yes,22.45,2025-02
SH00197,2025-11-11 00:00:00,P012,32,Birmingham,DHL,7,7,Yes,23.44,2025-11
SH00198,2025-11-25 00:00:00,P004,17,London,Royal Mail,7,9,No,23.19,2025-11
SH00199,2025-01-17 00:00:00,P013,27,Manchester,DPD,7,5,Yes,20.16,2025-01
SH00200,2025-10-10 00:00:00,P017,23,Birmingham,DPD,2,1,Yes,14.69,2025-10
SH00201,2025-09-15 00:00:00,P008,46,Manchester,DHL,6,4,Yes,25.73,2025-09
SH00202,2025-01-19 00:00:00,P020,41,Manchester,Royal Mail,7,10,No,31.28,2025-01
SH00203,2026-06-13 00:00:00,P003,43,Birmingham,DPD,5,5,Yes,31.28,2026-06
SH00204,2026-02-27 00:00:00,P012,28,Manchester,Evri,3,6,No,25.86,2026-02
SH00205,2026-04-11 00:00:00,P007,20,London,Royal Mail,7,7,Yes,19.58,2026-04
SH00206,2026-01-08 00:00:00,P012,37,London,DHL,7,9,No,27.96,2026-01
SH00207,2025-03-22 00:00:00,P002,16,London,DPD,7,10,No,22.32,2025-03
SH00208,2026-02-28 00:00:00,P014,38,London,DPD,2,3,No,27.83,2026-02
SH00209,2026-03-05 00:00:00,P005,11,Manchester,DPD,7,9,No,17.33,2026-03
SH00210,2026-01-23 00:00:00,P009,15,London,Evri,5,4,Yes,15.71,2026-01
SH00211,2025-07-23 00:00:00,P011,35,Birmingham,Royal Mail,4,7,No,28.39,2025-07
SH00212,2025-07-15 00:00:00,P005,33,Birmingham,DHL,6,6,Yes,28.66,2025-07
SH00213,2025-10-12 00:00:00,P003,17,Birmingham,Royal Mail,7,9,No,19.3,2025-10
SH00214,2025-07-15 00:00:00,P017,35,Birmingham,DHL,2,1,Yes,18.97,2025-07
SH00215,2025-11-03 00:00:00,P002,6,Manchester,Royal Mail,5,5,Yes,12.41,2025-11
SH00216,2025-01-14 00:00:00,P001,43,London,Royal Mail,7,5,Yes,23.72,2025-01
SH00217,2025-05-26 00:00:00,P007,19,London,DPD,2,5,No,19.98,2025-05
SH00218,2025-02-26 00:00:00,P014,15,Birmingham,DHL,4,4,Yes,18.22,2025-02
SH00219,2025-07-29 00:00:00,P005,38,Birmingham,Royal Mail,3,3,Yes,24.82,2025-07
SH00220,2026-06-13 00:00:00,P019,43,London,Royal Mail,7,6,Yes,25.02,2026-06
SH00221,2025-12-10 00:00:00,P011,8,Manchester,DPD,5,5,Yes,11.85,2025-12
SH00222,2025-10-06 00:00:00,P002,15,London,DHL,2,1,Yes,11.83,2025-10
SH00223,2025-07-28 00:00:00,P008,33,London,Royal Mail,2,6,No,23.27,2025-07
SH00224,2025-12-01 00:00:00,P009,6,London,DHL,7,7,Yes,18.69,2025-12
SH00225,2025-10-15 00:00:00,P003,20,Birmingham,DHL,2,3,No,14.98,2025-10
SH00226,2025-09-09 00:00:00,P002,43,Birmingham,DHL,3,2,Yes,21.2,2025-09
SH00227,2025-09-22 00:00:00,P007,17,London,DHL,2,1,Yes,14,2025-09
SH00228,2025-09-28 00:00:00,P005,41,London,DPD,6,6,Yes,27.08,2025-09
SH00229,2026-02-23 00:00:00,P005,21,Manchester,Evri,6,8,No,22.16,2026-02
SH00230,2025-07-30 00:00:00,P020,25,London,Royal Mail,2,3,No,22.07,2025-07
SH00231,2025-12-31 00:00:00,P013,48,London,DHL,7,5,Yes,26.08,2025-12
SH00232,2025-03-17 00:00:00,P020,23,Birmingham,DPD,6,4,Yes,21.28,2025-03
SH00233,2025-11-17 00:00:00,P006,11,London,DPD,5,8,No,17.75,2025-11
SH00234,2026-03-09 00:00:00,P020,42,Manchester,DHL,6,6,Yes,26.58,2026-03
SH00235,2025-04-19 00:00:00,P018,12,London,Evri,2,2,Yes,17.46,2025-04
SH00236,2026-06-06 00:00:00,P002,17,Birmingham,DPD,7,9,No,20.04,2026-06
SH00237,2025-02-16 00:00:00,P006,41,Birmingham,Evri,4,7,No,29.79,2025-02
SH00238,2026-01-14 00:00:00,P009,6,Manchester,DPD,7,9,No,16.4,2026-01
SH00239,2025-04-06 00:00:00,P003,45,London,Royal Mail,7,6,Yes,29.21,2025-04
SH00240,2025-04-13 00:00:00,P001,15,Birmingham,DHL,7,7,Yes,21.84,2025-04
SH00241,2025-05-26 00:00:00,P001,28,Birmingham,DPD,5,3,Yes,23.55,2025-05
SH00242,2025-01-27 00:00:00,P019,10,Birmingham,DHL,3,7,No,20.51,2025-01
SH00243,2026-06-14 00:00:00,P005,30,Birmingham,Evri,2,2,Yes,20.96,2026-06
SH00244,2025-03-23 00:00:00,P013,11,Birmingham,Royal Mail,3,3,Yes,12.54,2025-03
SH00245,2026-03-04 00:00:00,P019,43,Manchester,Evri,4,8,No,31.54,2026-03
SH00246,2026-04-24 00:00:00,P012,23,London,Royal Mail,3,3,Yes,20.43,2026-04
SH00247,2025-06-11 00:00:00,P016,10,London,Evri,2,5,No,12.09,2025-06
SH00248,2026-02-06 00:00:00,P019,47,Manchester,DHL,2,1,Yes,24.86,2026-02
SH00249,2026-05-23 00:00:00,P003,33,London,DPD,4,4,Yes,25.9,2026-05
SH00250,2025-02-07 00:00:00,P012,47,Manchester,Royal Mail,2,1,Yes,25.27,2025-02
SH00251,2026-05-26 00:00:00,P005,43,Birmingham,Royal Mail,4,2,Yes,23.34,2026-05
SH00252,2026-01-28 00:00:00,P002,6,Birmingham,Royal Mail,4,3,Yes,15.77,2026-01
SH00253,2026-05-09 00:00:00,P007,23,London,DHL,2,5,No,17.8,2026-05
SH00254,2025-07-19 00:00:00,P013,8,London,DHL,6,10,No,17.45,2025-07
SH00255,2025-09-12 00:00:00,P015,10,Birmingham,Evri,4,3,Yes,15.7,2025-09
SH00256,2025-06-28 00:00:00,P003,41,Manchester,Royal Mail,2,4,No,24.77,2025-06
SH00257,2026-01-24 00:00:00,P020,32,Manchester,DHL,6,6,Yes,26.3,2026-01
SH00258,2026-02-02 00:00:00,P005,34,London,Royal Mail,4,4,Yes,20.76,2026-02
SH00259,2025-06-07 00:00:00,P008,11,London,Evri,6,10,No,18.87,2025-06
SH00260,2025-01-04 00:00:00,P001,13,London,DHL,5,6,No,15.2,2025-01
SH00261,2025-06-16 00:00:00,P008,29,Manchester,Evri,7,5,Yes,26.27,2025-06
SH00262,2026-04-13 00:00:00,P018,37,London,Evri,5,5,Yes,24.69,2026-04
SH00263,2026-02-13 00:00:00,P020,5,London,Evri,6,8,No,15.65,2026-02
SH00264,2026-02-16 00:00:00,P016,10,London,Evri,4,4,Yes,11.21,2026-02
SH00265,2025-07-23 00:00:00,P018,22,London,DPD,2,5,No,17.43,2025-07
SH00266,2025-07-13 00:00:00,P020,14,Manchester,DPD,3,3,Yes,14.97,2025-07
SH00267,2025-08-23 00:00:00,P012,32,Birmingham,DHL,2,6,No,21.15,2025-08
SH00268,2025-05-30 00:00:00,P013,15,London,DHL,3,7,No,19.64,2025-05
SH00269,2025-06-08 00:00:00,P013,37,London,DPD,3,7,No,26.89,2025-06
SH00270,2025-10-06 00:00:00,P010,5,London,DPD,4,2,Yes,13.69,2025-10
SH00271,2026-02-08 00:00:00,P007,17,London,DHL,6,5,Yes,19.73,2026-02
SH00272,2025-11-07 00:00:00,P014,41,London,DPD,2,2,Yes,23.72,2025-11
SH00273,2025-03-09 00:00:00,P016,24,Birmingham,DHL,6,6,Yes,19.6,2025-03
SH00274,2026-04-08 00:00:00,P015,5,London,Evri,5,9,No,19.66,2026-04
SH00275,2025-03-29 00:00:00,P012,7,London,DHL,4,5,No,16.61,2025-03
SH00276,2025-08-05 00:00:00,P009,22,London,Royal Mail,4,2,Yes,14.73,2025-08
SH00277,2025-01-01 00:00:00,P008,45,Manchester,DPD,5,9,No,35.17,2025-01
SH00278,2025-05-15 00:00:00,P018,18,Birmingham,DHL,2,3,No,13.52,2025-05
SH00279,2025-12-17 00:00:00,P018,35,Birmingham,Evri,7,7,Yes,22.99,2025-12
SH00280,2025-05-20 00:00:00,P013,31,Birmingham,DPD,5,5,Yes,20.85,2025-05
SH00281,2025-05-13 00:00:00,P018,21,Birmingham,DPD,2,2,Yes,20.43,2025-05
SH00282,2025-06-27 00:00:00,P015,50,London,DHL,3,5,No,30.16,2025-06
SH00283,2025-12-24 00:00:00,P004,33,Manchester,DPD,4,4,Yes,25.45,2025-12
SH00284,2026-01-15 00:00:00,P017,40,London,DHL,2,1,Yes,20.72,2026-01
SH00285,2026-03-26 00:00:00,P005,41,London,DPD,6,9,No,30.37,2026-03
SH00286,2026-04-08 00:00:00,P016,30,Manchester,DPD,6,6,Yes,22.77,2026-04
SH00287,2025-04-18 00:00:00,P009,21,London,Evri,4,7,No,24.27,2025-04
SH00288,2025-05-02 00:00:00,P010,26,Manchester,Royal Mail,5,3,Yes,15.98,2025-05
SH00289,2025-01-17 00:00:00,P018,29,Birmingham,DHL,7,7,Yes,22.4,2025-01
SH00290,2025-07-15 00:00:00,P017,6,Manchester,DHL,5,9,No,15.42,2025-07
